Employee_ID,First_Name,Last_Name,Email,Department,Job_Title,Salary,Date_of_Joining,City,Country
40,Matthew,Romero,dennismoore@gmail.com,Sales,Consultant,117089,13-01-2018,West Sean,Bhutan
41,Alexandria,Whitaker,mckenzietravis@tucker-rhodes.com,Operations,Manager,54792,04-07-2022,Mitchellville,Puerto Rico
42,Joshua,Dennis,sethwatson@yahoo.com,Marketing,Assistant,88452,24-06-2023,New Adam,French Southern Territories
43,Adrienne,Moore,davidsuarez@yahoo.com,IT,Executive,72601,17-06-2019,North Cassandra,Switzerland
44,Tyler,Phelps,amber07@yahoo.com,Marketing,Consultant,80714,04-05-2018,Millerland,Lebanon
45,Jessica,Montgomery,tinawright@hotmail.com,Marketing,Analyst,95732,17-04-2020,North Stephanie,Grenada
46,Robert,Thomas,zberry@hotmail.com,IT,Executive,53390,23-12-2020,New Jessicaburgh,Belize
47,Richard,Frazier,tclements@reyes.com,Operations,Manager,123113,30-07-2021,Juanville,Lebanon
48,David,Mora,samantha00@gmail.com,IT,Executive,87935,09-09-2018,Gregoryburgh,Central African Republic
49,Scott,White,michael07@hotmail.com,HR,Consultant,68705,14-01-2018,Lake Nicholas,Turkey
50,James,Ali,joan11@hotmail.com,Operations,Assistant,135768,23-11-2021,Charlesfurt,Belize
